Resistance (ohms),Temperature (K)
121.4,328.3716
121.5,328.6322
121.6,328.8929
121.7,329.1535
121.8,329.4142
121.9,329.6748
122.0,329.9355
122.1,330.1961
122.2,330.4568
122.3,330.7175
122.4,330.9781
122.5,331.2388
122.6,331.4994
122.7,331.7601
122.8,332.0207
122.9,332.2814
123.0,332.542
123.1,332.8027
123.2,333.0633
123.3,333.324
123.4,333.5846
123.5,333.8453
123.6,334.106
123.7,334.3666
123.8,334.6273
123.9,334.8879
124.0,335.1486
124.1,335.4092
124.2,335.6699
124.3,335.9305
124.4,336.1912
124.5,336.4518
124.6,336.7125
124.7,336.9732
124.8,337.2338
124.9,337.4945
125.0,337.7551
125.1,338.0158
125.2,338.2764
125.3,338.5371
125.4,338.7977
125.5,339.0584
125.6,339.319
125.7,339.5797
125.8,339.8403
125.9,340.101
126.0,340.3617
126.1,340.6223
126.2,340.883
126.3,341.1436
126.4,341.4043
126.5,341.6649
126.6,341.9256
126.7,342.1862
126.8,342.4469
126.9,342.7075
127.0,342.9682
127.1,343.2289
127.2,343.4895
127.3,343.7502
127.4,344.0108
127.5,344.2715
127.6,344.5321
127.7,344.7928
127.8,345.0534
127.9,345.3141
128.0,345.5747
128.1,345.8354
128.2,346.0961
128.3,346.3567
128.4,346.6174
128.5,346.878
128.6,347.1387
128.7,347.3993
128.8,347.66
128.9,347.9206
129.0,348.1813
129.1,348.4419
129.2,348.7026
129.3,348.9632
129.4,349.2239
129.5,349.4846
129.6,349.7452
129.7,350.0059
129.8,350.2665
129.9,350.5272
130.0,350.7878
130.1,351.0485
130.2,351.3091
130.3,351.5698
130.4,351.8304
130.5,352.0911
130.6,352.3518
130.7,352.6124
130.8,352.8731
130.9,353.1337
131.0,353.3944
131.1,353.655
131.2,353.9157
131.3,354.1763
131.4,354.437
131.5,354.6976
131.6,354.9583
131.7,355.2219
131.8,355.486
131.9,355.7502
132.0,356.0143
132.1,356.2785
132.2,356.5426
132.3,356.8068
132.4,357.0709
132.5,357.3351
132.6,357.5992
132.7,357.8633
132.8,358.1275
132.9,358.3916
133.0,358.6558
133.1,358.9199
133.2,359.1841
133.3,359.4482
133.4,359.7124
133.5,359.9765
133.6,360.2407
133.7,360.5048
133.8,360.769
133.9,361.0331
134.0,361.2973
134.1,361.5614
134.2,361.8255
134.3,362.0897
134.4,362.3538
134.5,362.618
134.6,362.8821
134.7,363.1463
134.8,363.4104
134.9,363.6746
135.0,363.9387
135.1,364.2029
135.2,364.467
135.3,364.7312
135.4,364.9953
135.5,365.2595
135.6,365.5236
135.7,365.7877
135.8,366.0519
135.9,366.316
136.0,366.5802
136.1,366.8443
136.2,367.1085
136.3,367.3726
136.4,367.6368
136.5,367.9009
136.6,368.1651
136.7,368.4292
136.8,368.6934
136.9,368.9575
137.0,369.2216
137.1,369.4858
137.2,369.7499
137.3,370.0141
137.4,370.2782
137.5,370.5424
137.6,370.8065
137.7,371.0707
137.8,371.3348
137.9,371.599
138.0,371.8631
138.1,372.1273
138.2,372.3914
138.3,372.6556
138.4,372.9197
138.5,373.1838
138.6,373.448
138.7,373.7121
138.8,373.9763
138.9,374.2404
139.0,374.5046
139.1,374.7687
139.2,375.0329
139.3,375.297
139.4,375.5612
139.5,375.8253
139.6,376.0895
139.7,376.3536
139.8,376.6178
139.9,376.8819
140.0,377.146
140.1,377.4102
140.2,377.6743
140.3,377.9385
140.4,378.2026
140.5,378.4668
140.6,378.7309
140.7,378.9951
140.8,379.2592
140.9,379.5234
141.0,379.7875
141.1,380.0517
141.2,380.3158
141.3,380.5799
141.4,380.8441
141.5,381.1082
141.6,381.3724
141.7,381.6365
141.8,381.9007
141.9,382.1648
142.0,382.429
142.1,382.6931
142.2,382.9573
142.3,383.2214
142.4,383.4856
142.5,383.7497
142.6,384.0139
142.7,384.278
142.8,384.5421
142.9,384.8063
143.0,385.0704
143.1,385.3346
143.2,385.5987
143.3,385.8629
143.4,386.127
143.5,386.3912
143.6,386.6553
143.7,386.9195
143.8,387.1836
143.9,387.4478
144.0,387.7119
144.1,387.9761
144.2,388.2402
144.3,388.5043
144.4,388.7685
144.5,389.0326
144.6,389.2968
144.7,389.5609
144.8,389.8251
144.9,390.0892
145.0,390.3534
145.1,390.6175
145.2,390.8817
145.3,391.1458
145.4,391.41
145.5,391.6741
145.6,391.9382
145.7,392.2024
145.8,392.4665
145.9,392.7307
146.0,392.9948
146.1,393.259
146.2,393.5231
146.3,393.7873
146.4,394.0514
146.5,394.3156
146.6,394.5797
146.7,394.8439
146.8,395.108
146.9,395.3722
147.0,395.6363
147.1,395.9004
147.2,396.1646
147.3,396.4287
147.4,396.6929
147.5,396.957
147.6,397.2212
147.7,397.4853
147.8,397.7495
147.9,398.0136
148.0,398.2778
148.1,398.5419
148.2,398.8061
148.3,399.0702
148.4,399.3344
148.5,399.5985
148.6,399.8626
148.7,400.1285
148.8,400.3961
148.9,400.6637
149.0,400.9314
149.1,401.199
149.2,401.4666
149.3,401.7343
149.4,402.0019
149.5,402.2695
149.6,402.5372
149.7,402.8048
149.8,403.0724
149.9,403.3401
150.0,403.6077
150.1,403.8753
150.2,404.143
150.3,404.4106
150.4,404.6782
150.5,404.9459
150.6,405.2135
150.7,405.4811
150.8,405.7488
150.9,406.0164
151.0,406.284
151.1,406.5517
151.2,406.8193
151.3,407.087
151.4,407.3546
151.5,407.6222
151.6,407.8899
151.7,408.1575
151.8,408.4251
151.9,408.6928
152.0,408.9604
152.1,409.228
152.2,409.4957
152.3,409.7633
152.4,410.0309
152.5,410.2986
152.6,410.5662
152.7,410.8338
152.8,411.1015
152.9,411.3691
153.0,411.6367
153.1,411.9044
153.2,412.172
153.3,412.4396
153.4,412.7073
153.5,412.9749
153.6,413.2425
153.7,413.5102
153.8,413.7778
153.9,414.0454
154.0,414.3131
154.1,414.5807
154.2,414.8483
154.3,415.116
154.4,415.3836
154.5,415.6512
154.6,415.9189
154.7,416.1865
154.8,416.4541
154.9,416.7218
155.0,416.9894
155.1,417.257
155.2,417.5247
155.3,417.7923
155.4,418.06
155.5,418.3276
155.6,418.5952
155.7,418.8629
155.8,419.1305
155.9,419.3981
156.0,419.6658
156.1,419.9334
156.2,420.201
156.3,420.4687
156.4,420.7363
156.5,421.0039
156.6,421.2716
156.7,421.5392
156.8,421.8068
156.9,422.0745
157.0,422.3421
157.1,422.6097
157.2,422.8774
